Container is store 10000 elements:
0: It Cyclic cipher: ciphered_text = x, deciphered_text = a, Division = 97.0
1: It Cyclic cipher: ciphered_text = s, deciphered_text = a, Division = 97.0
2: It Cyclic cipher: ciphered_text = y, deciphered_text = a, Division = 97.0
3: It Cyclic cipher: ciphered_text = y, deciphered_text = a, Division = 97.0
4: It Cyclic cipher: ciphered_text = z, deciphered_text = a, Division = 97.0
5: It Cyclic cipher: ciphered_text = r, deciphered_text = a, Division = 97.0
6: It Cyclic cipher: ciphered_text = q, deciphered_text = a, Division = 97.0
7: It Cyclic cipher: ciphered_text = q, deciphered_text = a, Division = 97.0
8: It Cyclic cipher: ciphered_text = z, deciphered_text = a, Division = 97.0
9: It Cyclic cipher: ciphered_text = y, deciphered_text = a, Division = 97.0
10: It Cyclic cipher: ciphered_text = v, deciphered_text = a, Division = 97.0
11: It Cyclic cipher: ciphered_text = r, deciphered_text = a, Division = 97.0
12: It Cyclic cipher: ciphered_text = z, deciphered_text = a, Division = 97.0
13: It Cyclic cipher: ciphered_text = y, deciphered_text = a, Division = 97.0
14: It Cyclic cipher: ciphered_text = y, deciphered_text = a, Division = 97.0
15: It Cyclic cipher: ciphered_text = st, deciphered_text = ab, Division = 97.5
16: It Symbols cipher: ciphered_text = lqj, deciphered_text = bab, function_result = 97.66666666666667
17: It Cyclic cipher: ciphered_text = w, deciphered_text = b, Division = 98.0
18: It Cyclic cipher: ciphered_text = w, deciphered_text = b, Division = 98.0
19: It Cyclic cipher: ciphered_text = w, deciphered_text = b, Division = 98.0
20: It Cyclic cipher: ciphered_text = s, deciphered_text = b, Division = 98.0
21: It Cyclic cipher: ciphered_text = t, deciphered_text = b, Division = 98.0
22: It Cyclic cipher: ciphered_text = vt, deciphered_text = ca, Division = 98.0
23: It Cyclic cipher: ciphered_text = y, deciphered_text = b, Division = 98.0
24: It Cyclic cipher: ciphered_text = x, deciphered_text = b, Division = 98.0
25: It Cyclic cipher: ciphered_text = a, deciphered_text = b, Division = 98.0
26: It Symbols cipher: ciphered_text = fxw, deciphered_text = abc, function_result = 98.0
27: It Cyclic cipher: ciphered_text = r, deciphered_text = b, Division = 98.0
28: It Cyclic cipher: ciphered_text = z, deciphered_text = b, Division = 98.0
29: It Cyclic cipher: ciphered_text = r, deciphered_text = b, Division = 98.0
30: It Cyclic cipher: ciphered_text = r, deciphered_text = b, Division = 98.0
31: It Cyclic cipher: ciphered_text = z, deciphered_text = b, Division = 98.0
32: It Cyclic cipher: ciphered_text = z, deciphered_text = b, Division = 98.0
33: It Cyclic cipher: ciphered_text = zz, deciphered_text = bb, Division = 98.0
34: It Cyclic cipher: ciphered_text = w, deciphered_text = b, Division = 98.0
35: It Cyclic cipher: ciphered_text = y, deciphered_text = b, Division = 98.0
36: It Cyclic cipher: ciphered_text = v, deciphered_text = b, Division = 98.0
37: It Cyclic cipher: ciphered_text = y, deciphered_text = b, Division = 98.0
38: It Cyclic cipher: ciphered_text = t, deciphered_text = b, Division = 98.0
